year,games,Name,Week,Opponent,Team,tar,rec,yds,yds/rec,yds/tar,td,def_rk,h/a_1,surface_0,points
2012.0,1,Jonathan Baldwin,1,ATL,KC,0,0,0,0.0,0.0,0,26,1.0,1.0,0.0
2012.0,1,Jordy Nelson,1,SF,GB,7,5,64,12.8,9.1,0,8,1.0,1.0,8.4
2012.0,1,Joseph Morgan,1,WAS,NO,2,0,0,0.0,0.0,0,28,1.0,0.0,0.0
2012.0,1,Josh Gordon,1,PHI,CLE,4,2,32,16.0,8.0,0,32,1.0,1.0,3.2
2012.0,1,Josh Morgan,1,NO,WAS,2,1,21,21.0,10.5,0,25,0.0,0.0,2.1
2012.0,1,Joshua Cribbs,1,PHI,CLE,0,0,0,0.0,0.0,0,32,1.0,1.0,0.0
2012.0,1,Julian Edelman,1,TEN,NE,2,1,7,7.0,3.5,0,17,0.0,1.0,0.7
2012.0,1,Julio Jones,1,KC,ATL,9,6,108,18.0,12.0,2,14,0.0,1.0,22.8
2012.0,1,Juron Criner,1,LAC,OAK,0,0,0,0.0,0.0,0,13,1.0,1.0,0.0
2012.0,1,Justin Blackmon,1,MIN,JAX,6,3,24,8.0,4.0,0,9,0.0,0.0,4.4
2012.0,1,Kassim Osgood,1,LAR,DET,0,0,0,0.0,0.0,0,27,1.0,0.0,0.0
2012.0,1,Kealoha Pilares,1,TB,CAR,1,0,0,0.0,0.0,0,29,0.0,1.0,0.5
2012.0,1,Kendall Wright,1,NE,TEN,6,5,37,7.4,6.2,0,3,1.0,1.0,3.7
2012.0,1,Keshawn Martin,1,MIA,HOU,1,0,0,0.0,0.0,0,22,1.0,0.0,0.0
2012.0,1,Kevin Cone,1,KC,ATL,0,0,0,0.0,0.0,0,14,0.0,1.0,0.0
2012.0,1,Kevin Elliott,1,MIN,JAX,0,0,0,0.0,0.0,0,9,0.0,0.0,0.0
2012.0,1,Kevin Ogletree,1,NYG,DAL,11,8,114,14.2,10.4,2,11,0.0,0.0,23.4
2012.0,1,Kevin Walter,1,MIA,HOU,2,2,16,8.0,8.0,0,22,1.0,0.0,1.6
2012.0,1,Kris Adams,1,CHI,IND,4,2,26,13.0,6.5,0,24,0.0,1.0,2.6
2012.0,1,Kyle Williams,1,GB,SF,0,0,0,0.0,0.0,0,18,0.0,1.0,0.3
2012.0,1,LaVon Brazill,1,CHI,IND,1,1,10,10.0,10.0,0,24,0.0,1.0,-1.0
2012.0,1,Lance Moore,1,WAS,NO,10,6,120,20.0,12.0,1,28,1.0,0.0,18.0
2012.0,1,Larry Fitzgerald,1,SEA,ARI,11,4,63,15.8,5.7,0,1,1.0,1.0,6.3
2012.0,1,Laurent Robinson,1,MIN,JAX,9,5,66,13.2,7.3,0,9,0.0,0.0,6.6
2012.0,1,Lavelle Hawkins,1,NE,TEN,4,2,8,4.0,2.0,0,3,1.0,1.0,0.8
2012.0,1,Legedu Naanee,1,HOU,MIA,2,0,0,0.0,0.0,0,31,0.0,0.0,0.0
2012.0,1,Leonard Hankerson,1,NO,WAS,0,0,0,0.0,0.0,0,25,0.0,0.0,0.0
2012.0,1,Lestar Jean,1,MIA,HOU,2,1,9,9.0,4.5,0,22,1.0,0.0,0.9
2012.0,1,Louis Murphy,1,TB,CAR,5,3,63,21.0,12.6,0,29,0.0,1.0,6.3
2012.0,1,Malcom Floyd,1,OAK,LAC,6,4,66,16.5,11.0,1,7,0.0,1.0,12.6
2012.0,1,Mario Manningham,1,GB,SF,4,4,29,7.2,7.2,0,18,0.0,1.0,2.9
2012.0,1,Marlon Moore,1,HOU,MIA,0,0,0,0.0,0.0,0,31,0.0,0.0,0.0
2012.0,1,Marques Colston,1,WAS,NO,11,4,71,17.8,6.5,0,28,1.0,0.0,5.1
2012.0,1,Marvin Jones,1,BAL,CIN,0,0,0,0.0,0.0,0,30,0.0,1.0,0.0
2012.0,1,Matt Willis,1,PIT,DEN,1,1,14,14.0,14.0,0,23,1.0,1.0,1.4
2012.0,1,Matthew Slater,1,TEN,NE,0,0,0,0.0,0.0,0,17,0.0,1.0,0.0
2012.0,1,Michael Crabtree,1,GB,SF,9,7,76,10.9,8.4,0,18,0.0,1.0,7.6
2012.0,1,Michael Floyd,1,SEA,ARI,1,0,0,0.0,0.0,0,1,1.0,1.0,0.0
2012.0,1,Michael Jenkins,1,JAX,MIN,5,3,45,15.0,9.0,0,15,1.0,0.0,4.5
2012.0,1,Micheal Spurlock,1,OAK,LAC,0,0,0,0.0,0.0,0,7,0.0,1.0,0.0
2012.0,1,Mike Thomas,1,MIN,JAX,1,0,0,0.0,0.0,0,9,0.0,0.0,-0.1
2012.0,1,Mike Wallace,1,DEN,PIT,6,4,37,9.2,6.2,1,4,0.0,1.0,9.7
2012.0,1,Mike Williams,1,CAR,TB,3,2,12,6.0,4.0,1,19,1.0,1.0,7.2
2012.0,1,Miles Austin,1,NYG,DAL,4,4,73,18.2,18.2,1,11,0.0,0.0,13.3
2012.0,1,Mohamed Massaquoi,1,PHI,CLE,8,3,41,13.7,5.1,0,32,1.0,1.0,4.1
2012.0,1,Mohamed Sanu,1,BAL,CIN,0,0,0,0.0,0.0,0,30,0.0,1.0,0.0
