Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
149,Freddie Martino,TB,WR,1,NO,0.34,0.2,0,4.3,0,0,0,0,0,0,0,0,0,0,0.4,0.43
149,Marlon Brown,CHI,WR,1,GB,0.29,0.2,0,4.3,0,0,0,0,0,0,0,0,0,0,0.4,0.43
151,Mack Hollins,PHI,WR,1,ATL,0.68,0.4,0,4.1,0,0,4,0,0,0,0,0,0,0,0.4,0.41
152,Russell Gage,ATL,WR,1,PHI,0.44,0.3,0,3.9,0,0,0,0,0,0.1,0,0,0,0,0.4,0.4
152,Richie James,SF,WR,1,MIN,0.45,0.3,0,3.9,0,0,0,0,0,0.1,0,0,0,0,0.4,0.4
154,David Moore,SEA,WR,1,DEN,0.46,0.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0.4,0.39
154,Ryan Switzer,PIT,WR,1,CLE,0.53,0.3,0,3.7,0,0,4,0,0,0.2,0,0,0,0,0.4,0.39
156,De'Anthony Thomas,KC,WR,1,LAC,0.69,0.4,0,3.5,0,0,4,0,0,0.3,0,0,0,0,0.4,0.38
156,Trevor Davis,GB,WR,1,CHI,0.27,0.2,0,3.7,0,0,0,0,0,0.1,0,0,0,0,0.4,0.38
156,Bradley Marquez,DET,WR,1,NYJ,0.31,0.2,0,3.8,0,0,0,0,0,0,0,0,0,0,0.4,0.38
156,Jordan Taylor,DEN,WR,1,SEA,0.52,0.3,0,3.8,0,0,4,0,0,0,0,0,0,0,0.4,0.38
160,Javon Wims,CHI,WR,1,GB,0.53,0.3,0,3.6,0,0,4,0,0,0.1,0,0,0,0,0.4,0.37
161,Jaydon Mickens,JAX,WR,1,NYG,0.35,0.2,0,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.36
161,Geremy Davis,LAC,WR,1,KC,0.33,0.2,0,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.36
163,Equanimeous St. Brown,GB,WR,1,CHI,0.41,0.3,0,3.3,0,0,0,0,0,0.1,0,0,0,0,0.3,0.34
164,Tommylee Lewis,NO,WR,1,TB,0.51,0.3,0,4.6,0,0,5,0,0.1,0.7,0,0,0.1,0.1,0.3,0.33
