Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Cedric Peerman,LAC,11737,CIN,2,,26,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,4200,0.0,0,0,0,,2015
LeSean McCoy,NE,11932,BUF,2,,12,0,1.0,14.6,3,,,15.0,0.0,89.0,5.9,3000,0.0,4,0,27,,2015
Darrel Young,LAR,11969,WAS,2,,23,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,5000,1.0,0,0,0,,2015
Chris Ivory,IND,12239,NYJ,2,,18,0,0.0,8.0,2,,,14.0,0.0,57.0,4.1,6200,0.0,2,0,3,,2015
Anthony Dixon,NE,12285,BUF,2,,12,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,5000,0.0,0,0,0,,2015
LeGarrette Blount,BUF,12296,NE,2,,10,0,0.0,0.4,0,,,2.0,0.0,4.0,2.0,3000,0.0,0,0,0,,2015
Danny Woodhead,CIN,12317,LAC,2,,15,0,0.0,16.4,6,,,7.0,0.0,36.0,5.1,3600,0.0,6,0,68,,2015
Joique Bell,MIN,12323,DET,2,,9,0,0.0,3.8,2,,,4.0,0.0,2.0,0.5,3000,0.0,2,0,16,,2015
Marshawn Lynch,GB,12386,SEA,2,,13,0,0.0,9.2,3,,,15.0,0.0,41.0,2.7,3000,1.0,6,0,21,,2015
James Starks,SEA,12506,GB,2,,1,1,1.0,13.6,4,,,20.0,0.0,95.0,4.8,7400,1.0,4,0,11,,2015
Dion Lewis,BUF,12708,NE,2,,10,1,0.0,24.8,6,,,7.0,1.0,40.0,5.7,6600,0.0,9,0,98,,2015
Shane Vereen,ATL,12780,NYG,2,,30,0,1.0,17.5,8,,,6.0,0.0,19.0,3.2,3000,0.0,8,0,76,,2015
Nick Bellore,PIT,12787,SF,2,,2,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,4700,1.0,0,0,0,,2015
Bilal Powell,IND,12800,NYJ,2,,18,0,0.0,9.4,4,,,12.0,0.0,38.0,3.2,0,0.0,5,0,16,,2015
Taiwan Jones,BAL,13063,OAK,2,,6,0,1.0,2.5,1,,,2.0,0.0,9.0,4.5,5000,1.0,1,0,6,,2015
Jordan Todman,SF,13102,PIT,2,,32,0,1.0,1.1,0,,,1.0,0.0,11.0,11.0,4000,1.0,0,0,0,,2015
