games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
17,2016,Alfred Blue,HOU,1,CHI,1,4,0,0,0,5,1.0,0.0,0.4
18,2016,Alfred Blue,HOU,2,KC,5,11,0,0,0,17,1.0,0.0,1.1
19,2016,Alfred Blue,HOU,3,NE,2,12,0,0,0,7,0.0,0.0,1.2
20,2016,Alfred Blue,HOU,4,TEN,3,19,0,1,4,2,1.0,0.0,3.3
21,2016,Alfred Blue,HOU,5,MIN,6,39,0,0,0,8,0.0,0.0,3.9
22,2016,Alfred Blue,HOU,6,IND,2,13,0,0,0,25,1.0,0.0,1.3
23,2016,Alfred Blue,HOU,7,DEN,11,63,0,3,0,18,0.0,1.0,5.3
24,2016,Alfred Blue,HOU,8,DET,9,41,0,0,0,9,1.0,0.0,4.1
25,2016,Alfred Blue,HOU,10,JAX,7,23,0,0,0,14,0.0,1.0,2.3
26,2016,Alfred Blue,HOU,13,GB,5,38,0,2,3,10,0.0,1.0,6.1
27,2016,Alfred Blue,HOU,14,IND,16,55,0,1,0,25,0.0,0.0,6.5
28,2016,Alfred Blue,HOU,15,JAX,1,1,0,1,4,14,1.0,0.0,1.5
29,2016,Alfred Blue,HOU,16,CIN,21,73,1,4,17,21,1.0,0.0,19.0
30,2016,Alfred Blue,HOU,17,TEN,11,28,0,4,12,2,0.0,1.0,7.0
31,2017,Alfred Blue,HOU,4,TEN,4,12,0,0,0,12,1.0,0.0,1.2
32,2017,Alfred Blue,HOU,5,KC,0,0,0,0,0,6,1.0,0.0,0.0
33,2017,Alfred Blue,HOU,6,CLE,0,0,0,0,0,13,1.0,0.0,0.0
34,2017,Alfred Blue,HOU,8,SEA,5,21,0,0,0,9,0.0,0.0,2.1
35,2017,Alfred Blue,HOU,9,IND,0,0,0,0,0,15,1.0,0.0,0.0
36,2017,Alfred Blue,HOU,10,LAR,4,10,0,0,0,27,0.0,1.0,1.0
37,2017,Alfred Blue,HOU,12,BAL,8,15,0,2,11,20,0.0,1.0,4.6
38,2017,Alfred Blue,HOU,13,TEN,4,2,0,1,7,12,0.0,1.0,1.9
39,2017,Alfred Blue,HOU,15,JAX,12,55,0,1,0,10,0.0,1.0,5.5
40,2017,Alfred Blue,HOU,16,PIT,16,108,0,0,0,18,1.0,0.0,13.8
41,2017,Alfred Blue,HOU,17,IND,18,39,1,5,36,15,0.0,0.0,17.5
42,2018,Alfred Blue,HOU,1,NE,5,36,1,0,0,13,0.0,0.0,9.6
43,2018,Alfred Blue,HOU,2,TEN,7,36,0,0,0,5,0.0,1.0,3.6
44,2018,Alfred Blue,HOU,3,NYG,4,13,0,1,4,22,1.0,0.0,2.7
45,2018,Alfred Blue,HOU,3,NYG,4,13,0,1,4,19,1.0,0.0,2.7
46,2018,Alfred Blue,HOU,4,IND,13,31,0,3,0,17,0.0,0.0,3.1
47,2018,Alfred Blue,HOU,4,IND,13,31,0,3,0,20,0.0,0.0,3.1
48,2018,Alfred Blue,HOU,5,DAL,20,46,0,8,73,10,1.0,0.0,19.9
49,2018,Alfred Blue,HOU,6,BUF,7,26,0,3,17,18,1.0,0.0,6.3
50,2018,Alfred Blue,HOU,7,JAX,8,28,0,0,0,10,0.0,1.0,2.8
51,2018,Alfred Blue,HOU,8,MIA,15,42,0,0,0,18,1.0,0.0,4.2
