Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
55,16847,David Johnson,ARI,RB,3,SF,22,20,4000,8.5
55,12317,Danny Woodhead,LAC,RB,4,CLE,22,30,4600,8.5
58,13337,Mark Ingram,NO,RB,3,CAR,4,7,5900,8.4
59,14731,Lance Dunbar,DAL,RB,4,NO,30,13,3600,8.3
60,16838,Duke Johnson,CLE,RB,3,OAK,32,31,3400,8.2
60,14385,Doug Martin,TB,RB,4,CAR,3,14,4400,8.2
62,13124,DeMarco Murray,PHI,RB,4,WAS,6,2,6500,7.9
62,12800,Bilal Powell,NYJ,RB,4,MIA,20,16,3700,7.9
64,12239,Chris Ivory,NYJ,RB,3,PHI,15,13,5000,7.8
64,12239,Chris Ivory,NYJ,RB,4,MIA,20,16,4800,7.8
64,12780,Shane Vereen,NYG,RB,4,BUF,27,6,4300,7.8
67,13735,Chris Polk,HOU,RB,3,TB,20,27,3400,7.7
67,15126,Theo Riddick,DET,RB,4,SEA,3,2,3000,7.7
69,16178,Bishop Sankey,TEN,RB,3,IND,13,19,4600,7.6
69,11256,Ryan Mathews,PHI,RB,4,WAS,6,2,3800,7.6
69,15207,Benjamin Cunningham,LAR,RB,3,PIT,30,5,4000,7.6
72,16127,Isaiah Crowell,CLE,RB,4,LAC,10,31,4100,7.5
72,10949,CJ Spiller,NO,RB,4,DAL,11,26,3900,7.5
74,6828,Chris Johnson,ARI,RB,4,LAR,7,27,4500,7.4
75,16838,Duke Johnson,CLE,RB,4,LAC,10,31,3100,7.2
75,16609,Charles Sims,TB,RB,3,HOU,21,14,3400,7.2
77,16856,Matt Jones,WAS,RB,3,NYG,28,25,4000,7.0
77,11220,Dexter McCluster,TEN,RB,3,IND,13,19,3000,7.0
79,16856,Matt Jones,WAS,RB,4,PHI,13,5,4500,6.9
79,8649,Rashad Jennings,NYG,RB,4,BUF,27,6,4200,6.9
79,16855,Ty Montgomery,GB,RB,4,SF,29,29,3000,6.9
82,4640,Reggie Bush,SF,RB,4,GB,16,22,3800,6.7
83,14269,Alfred Morris,WAS,RB,3,NYG,28,25,4700,6.6
